station_id,water_year,year,month,day,date,daily_rain,code,station
200,1952,1951,9,17,1951-9-17,0.01,E311,UCSB
200,1952,1951,10,24,1951-10-24,0.3,E311,UCSB
200,1952,1951,11,19,1951-11-19,0.81,E311,UCSB
200,1952,1951,11,20,1951-11-20,0.16,E311,UCSB
200,1952,1951,11,21,1951-11-21,0.19,E311,UCSB
200,1952,1951,12,1,1951-12-1,1.25,E311,UCSB
200,1952,1951,12,3,1951-12-3,0.49,E311,UCSB
200,1952,1951,12,4,1951-12-4,0.69,E311,UCSB
200,1952,1951,12,11,1951-12-11,0.16,E311,UCSB
200,1952,1951,12,12,1951-12-12,0.7,E311,UCSB
200,1952,1951,12,18,1951-12-18,0.07,E311,UCSB
200,1952,1951,12,19,1951-12-19,0.05,E311,UCSB
200,1952,1951,12,28,1951-12-28,0.2,E311,UCSB
200,1952,1951,12,29,1951-12-29,1.4,E311,UCSB
200,1952,1951,12,30,1951-12-30,0.48,E311,UCSB
200,1952,1952,1,6,1952-1-6,0.58,E311,UCSB
200,1952,1952,1,7,1952-1-7,0.02,E311,UCSB
200,1952,1952,1,8,1952-1-8,0.07,E311,UCSB
200,1952,1952,1,11,1952-1-11,0.12,E311,UCSB
200,1952,1952,1,12,1952-1-12,1.32,E311,UCSB
200,1952,1952,1,13,1952-1-13,0.33,E311,UCSB
200,1952,1952,1,14,1952-1-14,0.68,E311,UCSB
200,1952,1952,1,15,1952-1-15,3.11,E311,UCSB
200,1952,1952,1,16,1952-1-16,0.12,E311,UCSB
200,1952,1952,1,17,1952-1-17,1.41,E311,UCSB
200,1952,1952,1,18,1952-1-18,0.53,E311,UCSB
200,1952,1952,1,24,1952-1-24,0.74,E311,UCSB
200,1952,1952,1,25,1952-1-25,0.38,E311,UCSB
200,1952,1952,2,11,1952-2-11,0.09,E311,UCSB
200,1952,1952,2,29,1952-2-29,0.6,E311,UCSB
200,1952,1952,3,1,1952-3-1,0.12,E311,UCSB
200,1952,1952,3,3,1952-3-3,0.07,E311,UCSB
200,1952,1952,3,4,1952-3-4,0.04,E311,UCSB
200,1952,1952,3,6,1952-3-6,1.15,E311,UCSB
200,1952,1952,3,7,1952-3-7,0.43,E311,UCSB
200,1952,1952,3,8,1952-3-8,0.11,E311,UCSB
200,1952,1952,3,10,1952-3-10,0.15,E311,UCSB
200,1952,1952,3,12,1952-3-12,0.25,E311,UCSB
200,1952,1952,3,14,1952-3-14,1.36,E311,UCSB
200,1952,1952,3,15,1952-3-15,2.74,E311,UCSB
200,1952,1952,3,16,1952-3-16,0.1,E311,UCSB
200,1952,1952,3,18,1952-3-18,0.26,E311,UCSB
200,1952,1952,3,19,1952-3-19,0.01,E311,UCSB
200,1952,1952,4,7,1952-4-7,0.76,E311,UCSB
200,1952,1952,4,10,1952-4-10,0.28,E311,UCSB
200,1952,1952,4,25,1952-4-25,0.45,E311,UCSB
200,1952,1952,4,26,1952-4-26,0.02,E311,UCSB
200,1952,1952,6,5,1952-6-5,0.01,E311,UCSB
200,1952,1952,6,6,1952-6-6,0.01,E311,UCSB
200,1953,1952,10,17,1952-10-17,0.02,E311,UCSB
200,1953,1952,10,22,1952-10-22,0.02,E311,UCSB
200,1953,1952,11,14,1952-11-14,1.46,E311,UCSB
200,1953,1952,11,15,1952-11-15,1.92,E311,UCSB
200,1953,1952,11,16,1952-11-16,0.01,E311,UCSB
200,1953,1952,11,29,1952-11-29,0.61,E311,UCSB
200,1953,1952,11,30,1952-11-30,0.02,E311,UCSB
200,1953,1952,12,1,1952-12-1,0.6,E311,UCSB
200,1953,1952,12,5,1952-12-5,0.13,E311,UCSB
200,1953,1952,12,7,1952-12-7,0.39,E311,UCSB
200,1953,1952,12,19,1952-12-19,1.07,E311,UCSB
200,1953,1952,12,20,1952-12-20,0.27,E311,UCSB
200,1953,1952,12,27,1952-12-27,1.1,E311,UCSB
200,1953,1952,12,28,1952-12-28,0.35,E311,UCSB
